date,open,high,low,close,month
1996-10-31,87.88,88.53,86.93,87.42,1996-10
1996-11-30,87.41,87.96,86.06,87.95,1996-11
1996-12-31,87.95,89.14,87.76,88.22,1996-12
1997-01-31,88.4,93.47,88.24,92.97,1997-01
1997-02-28,93.04,95.74,92.95,94.95,1997-02
1997-03-31,94.98,96.32,94.18,94.75,1997-03
1997-04-30,94.73,97.41,94.01,97.24,1997-04
1997-05-31,97.23,97.28,93.07,94.89,1997-05
1997-06-30,95.06,96.22,94.5,95.65,1997-06
1997-07-31,95.66,100.0,95.21,99.57,1997-07
1997-08-31,99.59,101.7,97.96,98.96,1997-08
1997-09-30,99.21,100.09,96.92,97.11,1997-09
1997-10-31,97.19,98.15,94.83,95.59,1997-10
1997-11-30,95.57,97.84,94.82,97.74,1997-11
1997-12-31,97.69,99.73,97.69,99.7,1997-12
1998-01-31,99.91,101.62,98.07,100.74,1998-01
1998-02-28,100.78,100.81,98.51,99.84,1998-02
1998-03-31,99.72,101.69,99.29,101.51,1998-03
1998-04-30,101.53,102.11,99.1,99.73,1998-04
1998-05-31,99.74,100.66,98.61,100.49,1998-05
1998-06-30,100.25,102.35,99.43,101.08,1998-06
1998-07-31,101.02,102.62,100.23,101.14,1998-07
1998-08-31,101.72,102.71,99.47,99.47,1998-08
1998-09-30,99.72,99.77,95.41,96.07,1998-09
1998-10-31,96.12,96.12,91.51,93.67,1998-10
1998-11-30,93.53,96.92,93.31,96.13,1998-11
1998-12-31,96.12,96.12,93.29,94.1,1998-12
1999-01-31,93.89,96.24,93.05,96.06,1999-01
1999-02-28,95.9,99.48,95.57,98.68,1999-02
1999-03-31,98.89,100.69,98.19,99.98,1999-03
1999-04-30,100.02,101.36,99.43,101.03,1999-04
1999-05-31,100.96,102.54,99.41,102.34,1999-05
1999-06-30,102.34,103.49,101.01,102.76,1999-06
1999-07-31,102.71,104.88,99.64,99.77,1999-07
1999-08-31,99.97,101.44,98.88,100.08,1999-08
1999-09-30,100.04,101.07,98.33,98.47,1999-09
1999-10-31,98.52,99.77,96.94,99.13,1999-10
1999-11-30,98.98,102.32,98.87,102.01,1999-11
1999-12-31,101.98,102.77,100.64,101.86,1999-12
2000-01-31,100.39,105.28,99.85,104.97,2000-01
2000-02-29,104.98,106.22,102.98,106.19,2000-02
2000-03-31,106.22,106.61,104.53,105.48,2000-03
2000-04-30,105.61,110.21,104.23,109.93,2000-04
2000-05-31,109.9,112.66,108.41,108.65,2000-05
2000-06-30,108.65,109.16,105.71,107.0,2000-06
2000-07-31,107.05,109.92,106.81,109.59,2000-07
2000-08-31,109.5,112.93,109.35,112.53,2000-08
