month,nasdaq_close
2010-08,2205.3
2010-09,2298.3
2010-10,2441.3
2010-11,2531.0
2010-12,2631.6
2011-01,2717.2
2011-02,2783.5
2011-03,2722.3
2011-04,2797.1
2011-05,2815.1
2011-06,2687.8
2011-07,2810.6
2011-08,2504.6
2011-09,2524.1
2011-10,2594.8
2011-11,2606.3
2011-12,2601.7
2012-01,2743.8
2012-02,2929.0
2012-03,3035.9
2012-04,3035.1
2012-05,2900.4
2012-06,2850.4
2012-07,2920.1
2012-08,3032.7
2012-09,3136.8
2012-10,3060.3
2012-11,2941.0
2012-12,3003.8
2013-01,3125.9
2013-02,3169.2
2013-03,3236.2
2013-04,3251.4
2013-05,3440.4
2013-06,3416.7
2013-07,3559.7
2013-08,3639.9
2013-09,3731.3
2013-10,3848.2
2013-11,3957.5
2013-12,4075.9
2014-01,4154.4
2014-02,4199.5
2014-03,4276.4
2014-04,4119.3
2014-05,4135.4
2014-06,4332.7
2014-07,4434.1
2014-08,4464.8
2014-09,4551.6
2014-10,4403.2
2014-11,4687.7
2014-12,4732.7
2015-01,4673.7
2015-02,4854.3
2015-03,4938.0
2015-04,4986.0
2015-05,5029.4
2015-06,5073.0
2015-07,5082.8
2015-08,4934.6
2015-09,4748.0
2015-10,4879.0
2015-11,5082.5
2015-12,5040.5
2016-01,4610.7
2016-02,4463.2
2016-03,4754.5
2016-04,4892.2
2016-05,4788.2
2016-06,4856.2
2016-07,5024.0
2016-08,5217.0
2016-09,5254.2
2016-10,5256.0
2016-11,5260.6
2016-12,5413.1
2017-01,5561.4
2017-02,5764.7
2017-03,5865.0
2017-04,5912.2
2017-05,6124.9
2017-06,6224.3
2017-07,6294.7
2017-08,6311.4
2017-09,6428.1
2017-10,6603.0
2017-11,6796.0
2017-12,6889.7
2018-01,7279.5
2018-02,7161.8
2018-03,7311.5
2018-04,7084.1
2018-05,7339.3
2018-06,7645.1
2018-07,7756.9
2018-08,7892.2
2018-09,7983.3
2018-10,7527.1
2018-11,7236.1
2018-12,6814.3
2019-01,6979.7
2019-02,7430.1
2019-03,7629.4
2019-04,7993.4
2019-05,7804.8
2019-06,7825.5
2019-07,8205.6
2019-08,7910.9
2019-09,8087.7
2019-10,8079.3
2019-11,8517.6
2019-12,8778.6
2020-01,9233.4
2020-02,9418.8
2020-03,7772.2
2020-04,8292.4
2020-05,9105.7
2020-06,9840.0
2020-07,10499.9
2020-08,11212.3
2020-09,11088.7
2020-10,11435.3
2020-11,11794.5
2020-12,12619.1
2021-01,13186.6
2021-02,13737.4
2021-03,13168.8
2021-04,13900.4
2021-05,13520.2
2021-06,14097.2
2021-07,14639.1
2021-08,14856.5
2021-09,15023.5
2021-10,14879.0
2021-11,15814.9
2021-12,15474.4
2022-01,14531.4
2022-02,13898.7
2022-03,13623.3
2022-04,13394.2
2022-05,11829.7
2022-06,11418.9
2022-07,11622.6
2022-08,12570.3
2022-09,11402.8
2022-10,10801.5
2022-11,10973.6
2022-12,10839.0
2023-01,11014.0
2023-02,11785.1
2023-03,11637.1
2023-04,12073.5
2023-05,12446.5
2023-06,13463.8
2023-07,14033.1
2023-08,13739.5
2023-09,13585.8
2023-10,13199.4
2023-11,13913.2
2023-12,14690.5
2024-01,15081.4
2024-02,15808.9
2024-03,16216.3
2024-04,15950.9
2024-05,16536.3
2024-06,17495.9
2024-07,17963.3
2024-08,17268.3
2024-09,17599.2
2024-10,18316.1
2024-11,18961.4
2024-12,19734.6
2025-01,19565.0
2025-02,19547.3
2025-03,17828.0
2025-04,16678.5
2025-05,18642.4
2025-06,19673.3
2025-07,20784.9
2025-08,21383.6
2025-09,22188.6
2025-10,23003.1
2025-11,23023.6
2025-12,23377.3
2026-01,23520.7
2026-02,22892.9
2026-03,22130.0
2026-04,23677.1
2026-05,26155.8
2026-06,26074.8
2026-07,25924.0
